address;balance_btc_prev;n_tr_prev;time_prev;ts_prev;exchange_rate_prev;cum_profit_prev;cohort_prev;last_block;label;balance_btc;balance_usd;first_tr;last_tr;tr_btc;n_tr;time;ts;exchange_rate;tr_profit;cum_profit;cohort;abs_delta
37R5JTE9TTFEX9C1qK1NQgw5CUtfY4Eye1;552.1934073;42;2024-02-21 09:00:00 UTC;1708502400;51488.75;10075846.26608563;b;831378;69721665;763.9;46000174.0;2022-02-11 15:22:03 UTC;2024-04-18 08:04:05 UTC;0.0;2;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;211.7065927
3FC1BTJuGCMQzJ1pUcC2FHuvkRWxFzhHFM;0.00046208;2;2023-01-19 13:00:00 UTC;1674129600;20731.78;-20046.13409855;0;772680;;210.23;12659490.0;2023-01-19 04:43:31 UTC;2024-03-06 09:37:36 UTC;0.0;1;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;210.22953791999998
bc1qg5qk9dyp689c3hq9hn9jcvwpt8ureh8mdqfyx8;19.92636949;731;2023-08-16 21:00:00 UTC;1692216000;28939.43;-38844.75203682;a;803502;88414043;229.84;13840077.0;2022-07-28 13:11:41 UTC;2024-04-18 18:28:23 UTC;0.0;1275;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;209.91363051000002
bc1qd6k7f4322mz57y6r7tx9erf3aaheu0sp3xcjgj;0.0;15;2023-08-10 06:00:00 UTC;1691643600;29562.57;-3201450.53992847;0;802478;90946497;207.33;12484716.0;2022-05-31 08:08:55 UTC;2024-03-22 09:22:05 UTC;0.0;9;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;207.33
116EytSxns3SaGU16YQLbw4P7bgbNvtpPk;482.29821826;116;2024-02-20 12:00:00 UTC;1708426800;52268.96;7922582.2779719;b;831255;54550768;275.0;16559815.0;2023-01-04 02:49:08 UTC;2024-04-16 03:40:41 UTC;0.0;124;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;207.29821826
14Y8dJseG6oj3TQYSBJAn5Z3Av7YMDzdyY;1727.00952316;11;2024-01-09 21:00:00 UTC;1704830400;46348.69;54525051.7142561;c;825048;;1522.0;91651354.0;2022-08-31 08:24:25 UTC;2024-04-05 03:02:01 UTC;0.0;9;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;205.00952316000007
3EHeQxMkEbH3wD69A9mL1WF2QhdJAEnqBv;5502.32372148;63;2024-02-21 08:00:00 UTC;1708498800;51646.26;119453918.00370023;c;831368;;5298.0;319009050.0;2023-07-03 09:42:48 UTC;2024-04-17 06:41:58 UTC;0.0;79;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;204.32372148000013
126cLS46uhg5KuKFeaQMpSjnPq8gBy44S6;460.98873182;1249;2024-02-21 11:00:00 UTC;1708509600;51200.57;10519320.31900104;b;831390;69153771;259.15;15605288.0;2020-08-11 18:30:02 UTC;2024-04-18 20:47:04 UTC;0.0;1453;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;201.83873182000002
18DowXoMUQT5EU8zPTDTrq4hrwmi8ddCcc;6239.63689211;872;2024-02-16 13:00:00 UTC;1708084800;52310.15;97538003.72339092;c;830712;81882517;6038.0;363567695.0;2021-12-01 14:51:49 UTC;2024-04-18 16:37:20 UTC;0.0;1177;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;201.6368921100002
18XSHFQgiPHsdDVu97NoLrGnsppw3v3M9p;683.80247282;17;2024-02-15 23:00:00 UTC;1708034400;51772.76;6986842.39900226;b;830636;;884.8;53280275.0;2024-01-05 18:07:14 UTC;2024-04-17 08:33:56 UTC;0.0;21;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;200.9975271799999
