address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
17ptxQ9vcKu5DiviRjYJgAXQcHvCh8FomW;;252.37637028;300.0;12610275.0;2022-01-14 11:07:16 UTC;2022-01-14 11:07:16 UTC;2;2022-01-14 12:00:00 UTC;1642158000;;42034.25;-45174.3464435;-45174.3464435;b;718619;False
17qrTe43dt4eBk6rTHg9cFukNLaEJXNSHx;;249.1937287;300.0;6062865.0;2022-06-15 08:18:53 UTC;2022-06-15 08:18:53 UTC;2;2022-06-15 09:00:00 UTC;1655280000;;20209.55;-129701.80581363;-129701.80581363;b;740874;False
18H1btKigVf7cjKCx3tt2KefagERmRcRxK;;205.04826902;300.0;6098835.0;2022-06-22 12:40:29 UTC;2022-06-22 12:40:29 UTC;2;2022-06-22 13:00:00 UTC;1655899200;;20329.45;17874.66335698;17874.66335698;b;741856;False
18KiWbGx4qsN4eLmPKpGC6ZYd7d7QS69LJ;;220.0;220.0;3713784.8;2022-11-13 01:22:30 UTC;2022-11-13 01:22:30 UTC;1;2022-11-13 02:00:00 UTC;1668301200;;16880.84;0.0;0.0;b;762946;False
18SDSbKwfTdyitArragqgNkw9C6ArQ3mNb;;217.81273869;300.0;11624445.0;2022-02-01 21:59:53 UTC;2022-02-01 21:59:53 UTC;2;2022-02-01 22:00:00 UTC;1643749200;;38748.15;32171.38156719;32171.38156719;b;721399;False
18fH1KugQMwQ6yo95yZMch75wmJ7HwBh1p;;64.83273626;300.0;11871234.0;2022-05-05 07:18:52 UTC;2022-05-05 07:18:52 UTC;3;2022-05-05 08:00:00 UTC;1651734000;;39570.78;66091.40780149;-287583.92956063;b;734983;False
18jZnP4fcCKQK9jRQ5hDuQcKYkCbAsqm3L;;278.50286344;300.0;9481614.0;2022-05-31 05:30:44 UTC;2022-05-31 05:30:44 UTC;2;2022-05-31 06:00:00 UTC;1653973200;;31605.38;20527.83067251;20527.83067251;b;738673;False
18jvDJz3rQZ22GXfFsRgsxspaw8XTUV9jD;;278.03927292;300.0;8992281.0;2022-06-02 07:48:14 UTC;2022-06-02 07:48:14 UTC;2;2022-06-02 08:00:00 UTC;1654153200;;29974.27;-35812.45568571;-35812.45568571;b;738966;False
18m9fbHpvuDD6KVHvMGYXd6Xixh5wFaa3Z;;200.90172645;300.0;13262919.0;2022-02-07 18:49:29 UTC;2022-02-07 18:49:29 UTC;2;2022-02-07 19:00:00 UTC;1644256800;;44209.73;623470.84214341;623470.84214341;b;722221;False
18vdapRrE6R2qv6hEjW7gAWR6XjfMo1zUA;;900.0;900.0;25321410.0;2023-03-21 15:23:12 UTC;2023-03-21 15:23:12 UTC;1;2023-03-21 16:00:00 UTC;1679410800;;28134.9;0.0;0.0;b;781820;False
